Sample_ID,Taxa,Taxa_ID,Observed_markers,Read_counts,Percent_observed_markers,Total_marker_coverage,Percent_identity
SRR5127845,Blastocystis sp. subtype 3,944168,6,11,27.27%,4.9%,99.14%
SRR5127847,Blastocystis sp. subtype 3,944168,20,390,90.91%,47.24%,99.45%
SRR5127847,Saccharomyces cerevisiae S288C,559292,8,19,4.4%,6.42%,99.93%
SRR5127848,Blastocystis sp. subtype 3,944168,4,13,18.18%,6.66%,99.2%
SRR5127848,Blastocystis sp. ATCC 50177/Nand II,478820,3,10,15.0%,6.59%,99.28%
SRR5127850,Blastocystis sp. subtype 4,944170,10,134,100.0%,40.8%,99.71%
SRR5127854,Blastocystis sp. subtype 2,944160,11,30,52.38%,8.88%,99.22%
SRR5127854,Saccharomyces cerevisiae S288C,559292,3,5,1.65%,7.64%,100.0%
SRR5127855,Blastocystis sp. subtype 2,944160,11,44,52.38%,10.22%,99.1%
SRR5127857,Blastocystis sp. subtype 3,944168,22,269,100.0%,33.57%,99.46%
SRR5127858,Blastocystis sp. subtype 2,944160,21,317,100.0%,37.38%,98.91%
SRR5127860,Saccharomyces cerevisiae S288C,559292,20,45,10.99%,6.84%,99.67%
